day,hour,PM10,PM2.5,NO2,O3,CO,Temperature,Humidity,windspeed,winddir,sealevelpressure
2017-01-01,01:00:00,33.0,28.0,13.0,29.0,0.34,-1.4,89.23,14.5,208.0,1028.3
2017-01-01,02:00:00,31.0,28.0,12.0,31.0,0.33,-3.0,98.85,13.7,204.0,1027.3
2017-01-01,03:00:00,33.0,30.0,13.0,31.0,0.33,-3.2,99.15,12.1,191.0,1026.5
2017-01-01,04:00:00,28.0,24.0,14.0,32.0,0.31,-3.2,98.57,12.9,205.0,1026.0
2017-01-01,05:00:00,25.0,23.0,12.0,35.0,0.31,-3.3,99.07,12.0,201.0,1025.3
2017-01-01,06:00:00,24.0,22.0,9.0,40.0,0.29,-3.2,98.14,14.9,205.0,1024.3
2017-01-01,07:00:00,21.0,19.0,9.0,40.0,0.29,-3.2,98.89,12.2,197.0,1023.5
2017-01-01,08:00:00,18.0,16.0,9.0,34.0,0.31,-3.1,98.6,13.8,193.0,1022.7
2017-01-01,09:00:00,17.0,15.0,10.0,30.0,0.34,-3.2,98.0,16.0,195.0,1021.9
2017-01-01,10:00:00,16.0,14.0,10.0,32.0,0.32,-3.4,97.47,14.4,197.0,1021.5
2017-01-01,11:00:00,17.0,15.0,12.0,30.0,0.34,-3.6,97.01,17.7,217.0,1021.2
2017-01-01,12:00:00,15.0,12.0,10.0,33.0,0.34,-3.8,94.27,20.7,214.0,1021.2
2017-01-01,13:00:00,17.0,15.0,11.0,31.0,0.33,-3.2,91.47,22.6,215.0,1020.9
2017-01-01,14:00:00,21.0,19.0,12.0,30.0,0.33,-2.6,97.27,20.1,202.0,1020.2
2017-01-01,15:00:00,22.0,19.0,12.0,31.0,0.33,-2.0,97.57,18.2,207.0,1019.9
2017-01-01,16:00:00,22.0,19.0,12.0,29.0,0.33,-1.6,98.08,18.4,194.0,1019.6
2017-01-01,17:00:00,20.0,18.0,12.0,30.0,0.32,-1.4,97.71,16.8,196.0,1019.4
2017-01-01,18:00:00,19.0,17.0,12.0,30.0,0.32,-1.0,95.59,16.3,198.0,1019.4
2017-01-01,19:00:00,18.0,16.0,11.0,32.0,0.31,-0.8,95.49,19.2,197.0,1019.2
2017-01-01,20:00:00,18.0,16.0,13.0,29.0,0.32,-0.8,96.02,18.4,198.0,1019.2
2017-01-01,21:00:00,18.0,16.0,10.0,32.0,0.31,-0.7,96.3,17.7,207.0,1019.6
2017-01-01,22:00:00,17.0,15.0,10.0,34.0,0.3,-0.8,96.35,19.0,209.0,1019.8
2017-01-01,23:00:00,17.0,15.0,9.0,33.0,0.29,-0.8,94.63,19.6,207.0,1020.3
2017-01-01,00:00:00,19.0,17.0,10.0,29.0,0.3,-0.8,93.92,20.6,207.0,1020.5
2017-01-02,01:00:00,18.0,16.0,10.0,26.0,0.3,-0.7,95.0,19.8,209.0,1020.7
2017-01-02,02:00:00,16.0,14.0,9.0,25.0,0.31,-0.7,97.99,15.9,222.0,1021.1
